ID,SKU,Manufacturer,Model,Variant,Network,Capacity,Color,Grade,Damages,Weight,Weight Unit
2639317,MACBOOKPRO256SPACD00002,Apple,"MacBook Pro (13-inch, 2018)","A1989 (8GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Space Grey,D Grade,"",,
2639318,MACBOOKPRO256SPACC00005,Apple,"MacBook Pro (13-inch, 2018)","A1989 (8GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Space Grey,C Grade,"",,
2639320,MACBOOKPRO512SPACB00004,Apple,"MacBook Pro (13-inch, 2018)","A1989 (8GB RAM, 2.3GHz i5)",Wi-Fi,512GB,Space Grey,B Grade,"",,
2639327,MACBOOKPRO128SPACC00002,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,128GB,Space Grey,C Grade,"",,
2639328,MBPA21591.48128SGA,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,128GB,Space Grey,A Grade,"",,
2639329,MACBOOKPRO128SPACB00002,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,128GB,Space Grey,B Grade,"",,
2639330,MACBOOKPRO128SPACD00002,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,128GB,Space Grey,D Grade,Broken LCD,,
2639331,MACBOOKPRO128SPACP,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,128GB,Space Grey,PARTS & REPAIR,Screen Separating,,
2639332,MACBOOKPRO256SPACC00008,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,256GB,Space Grey,C Grade,"",,
2639333,MACBOOKPRO256SPACB00007,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,256GB,Space Grey,B Grade,"",,
2639367,A19902.2256SGA,Apple,"MacBook Pro (15-inch, 2018)","A1990 (16GB RAM, 2.2GHz i7)",Wi-Fi,256GB,Space Grey,A Grade,"",,
2639368,MACBOOKPRO256SPACC00006,Apple,"MacBook Pro (15-inch, 2018)","A1990 (16GB RAM, 2.2GHz i7)",Wi-Fi,256GB,Space Grey,C Grade,"",,
2639373,MACBOOKPRO512SPACB00006,Apple,"MacBook Pro (15-inch, 2018)","A1990 (16GB RAM, 2.6GHz i7)",Wi-Fi,512GB,Space Grey,B Grade,"",,
2639374,MACBOOKPRO512GS00002,Apple,"MacBook Pro (15-inch, 2018)","A1990 (16GB RAM, 2.6GHz i7)",Wi-Fi,512GB,Space Grey,C Grade,"",,
2639376,MACBOOKPRO512SPACC00004,Apple,"MacBook Pro (15-inch, 2019)","A1990 (16GB RAM, 2.6GHz i7)",Wi-Fi,512GB,Space Grey,C Grade,"",,
2639398,IPAD10THGENA269664GSILVN,Apple,iPad 10th Gen,A2696,Wi-Fi,64GB,Silver,NEW,"",,
2639399,IPAD10THGENA269664GSILVA,Apple,iPad 10th Gen,A2696,Wi-Fi,64GB,Silver,A Grade,"",,
2639401,IPADPRO11INCA2337128SILVA,Apple,iPad Pro 11 inch 3rd Gen,A2337,Wi-Fi,128GB,Silver,A Grade,"",,
2639403,IPADPRO11INCA2377128SILVB,Apple,iPad Pro 11 inch 3rd Gen,A2377,Wi-Fi,128GB,Silver,B Grade,"",,
2639405,IPADPRO11INCA2759128SILVA,Apple,iPad Pro 11 inch 4th Gen,A2759,Wi-Fi,128GB,Silver,A Grade,"",,
2639448,MACBOOKAIR256SILVC,Apple,"MacBook Air (13-inch, 2017)","A1466 (8GB RAM, 1.8GHz i5)",Wi-Fi,256GB,Silver,C Grade,"",,
2639449,MACBOOKAIR512SILVC,Apple,"MacBook Air (13-inch, 2017)","A1466 (8GB RAM, 1.8GHz i5)",Wi-Fi,512GB,Silver,C Grade,"",,
