ID,SKU,Manufacturer,Model,Variant,Network,Capacity,Color,Grade,Damages,Weight,Weight Unit
3933422,XBOXWIRELESSCTLRQAU-00082DEEPINKO,MICROSOFT XBOX,Microsoft QAU-00082 Xbox Wireless Controller - Deep Pink,QAU-00082/CA,889842875560,16057596,Unknown,OPEN BOX,"",,
3933662,STUDIOSXBOXXWIRELESSCTRLCARBONV2KO,MICROSOFT XBOX,Microsoft QAT-00007 Xbox Wireless Controller - Carbon Black,QAT-00007/CA,889842654776,16609480,Unknown,OPEN BOX,"",,
3933747,STUDIOSXBOXELITES2COREWHITA,MICROSOFT STUDIOS,Xbox Elite Series 2 Core Wireless Controller for Xbox Series X|S / Xbox One - White,4IK-00001,889842717068,16433594,Unknown,A Grade,"",,
3933754,XBOX137023UNKNPR,MICROSOFT XBOX,XBOX ONE WIRELESS CTRL ELITE S2,FST-00001,889842196344,13702316,Unknown,PARTS & REPAIR,"",,
3933799,BOSE700NCHEADPHONEBLACC,BOSE,BOSE HEADPHONES 700 NC BT OE HP BLK,BOSE HEADPH 700 BLK,017817796163,13595376,Unknown,C Grade,"",,
3933869,GF63THIN9SCX8GBI5512GBBLACA,MSI,"GF63 THIN 9SCXR (15.6-inch, 2020)","(8GB RAM, i5 9300H)",Wi-Fi,512GB,Black,A Grade,"",,
3933870,GF63THIN9SCXR2020512BLACB,MSI,"GF63 THIN 9SCXR (15.6-inch, 2020)","(8GB RAM, i5 9300H)",Wi-Fi,512GB,Black,B Grade,"",,
3933906,MACPRO1332GB512GBALUMD,Apple,"Mac Pro (N/A, Late 2013)","A1481 (32GB RAM, 3GHz 8 Core Xeon E5-1680v2)",Wi-Fi,512GB,Aluminum,D Grade,"",,
3933907,MACPRO1A1481512ALUMB,Apple,"Mac Pro (N/A, Late 2013)","A1481 (32GB RAM, 3GHz 8 Core Xeon E5-1680v2)",Wi-Fi,512GB,Aluminum,B Grade,"",,
3933908,SONYWH-1000XM4SNCBTSILVBM,Sony _,Sony WH1000XM4/S Wireless Noise-Cancelling Over-the-Ear Headphones - Silver,WH1000XM4/S/CA,Unknown,14777257,Unknown,BM Grade,"",,
3934111,PS5149621UNKNA,Sony,PlayStation 5 DualSense Wireless Controller (3005739) - White,3005739/CA,711719541226,14962193,Unknown,A Grade,"",,
3934169,XBOX169614UNKNPR,Microsoft,XBOX X WIRELESS CTRL VELOCITY GREEN,QAU-00090,889842896473,16961493,Unknown,PARTS & REPAIR,"",,
3934171,ROGSTRIG1564GBI5251TBBLACA,ASUS,"ROG Strix G15 G512LI (15.6-inch, 2021)","(64GB RAM, i5 10300H 2.5GHZ)",Wi-Fi,1TB,Black,A Grade,"",,
3934172,ROGSTRIXG15G512LI202164GBRAMi510CB,ASUS,"ROG Strix G15 G512LI (15.6-inch, 2021)","(64GB RAM, i5 10300H 2.5GHZ)",Wi-Fi,1TB,Black,B Grade,"",,
3934178,XBOXONEELITES23CUBLACBM,MICROSOFT XBOX,XBOX ONE WIRELESS CTRL ELITE S2,FST-00001,889842196344,13702316,Unknown,BM Grade,"",,
3934190,PS5179778UNKNPR,Sony,PS5 DUALSENSE CTRL COSMIC RED REPLEN,1000039937,711719574316,17977844,Unknown,PARTS & REPAIR,"",,
3934207,PS5DUALSENSEWLCTRLRGPURPA,Sony PlayStation,Sony (1000039939) PlayStation 5 DualSense Wireless Controller - Galactic Purple,1000039939/CA,711719574330,17977846,Unknown,A Grade,"",,
3934211,DUALSENSEWLCTRLWHITEB,Sony,PlayStation 5 DualSense Wireless Controller (3005739) - White,3005739/CA,711719541226,14962193,Unknown,B Grade,"",,
3934282,XBOX149652UNKNPR,MICROSOFT XBOX,Microsoft Xbox QAU-00001 Wireless Controller - Shock Blue,QAU-00001/CA,889842613872,14965239,Unknown,PARTS & REPAIR,"",,
3934290,PS5DUALSENSEWIRELESSCTRLGREYCAMOO,Sony,PS5 DUALSENSE WIRELESS CTRL GREYCAMO,1000030606,711719554783,16489324,Unknown,OPEN BOX,"",,
3934293,BRAUSHAV9330144504UNKNBM,TL,Braun Shaver 9330s Solo,81666404,69055883075,14450480,Unknown,BM Grade,"",,
3934295,PIXELBUDSPRO(GA03203-US)FOGBM,TL,GOOGLE PIXEL BUDS PRO ANC TW FOG WHT,GA03203-US,193575032306,16298163,Unknown,BM Grade,"",,
3934299,SAMSMR400NZ173019UNKNC,Samsung -,Samsung SM-R400NZWAXAC Galaxy Buds FE In-Ear Noise Cancelling True Wireless Earbuds - Mystic White,SM-R400NZWAXAC/CA,887276791906,17301939,Unknown,C Grade,"",,
3934300,OPENRUNMINIBTHPBLACA,TL,SHOKZ OPENRUN MINI BT HP BLACK,S803-MN-BK-CA-153,810092675914,17115308,Unknown,A Grade,"",,
3934301,SONYWH1000XM5BHEADPHONEBLACBM,Sony,Sony WH-1000XM5 Over-Ear Noise Cancelling Bluetooth Headphones - Black,WH1000XM5/B/CA,027242923232,16162187,Unknown,BM Grade,"",,
3934302,SHOKS803ST159548UNKNPR,Shokz,Shokz (S803-ST-BK-CA-153) OpenRun Bone Conduction Open-Ear Bluetooth Headphones - Black,S803-ST-BK-CA-153/CA,810092675938,15954867,Unknown,PARTS & REPAIR,"",,
3934306,XBOX166094UNKNPR,MICROSOFT STUDIOS,XBOX X WIRELESS CTRL SHOCK BLUE V2,QAU-00065,889842782721,16609481,Unknown,PARTS & REPAIR,"",,
3934307,JLABGOAIRSPORTHOGRAPBM,JLAB,JLAB GO AIR SPORT TW IE HP GRAPHITE,IFCEBGAIRSPRTRBLK124,812887017404,16161836,Unknown,BM Grade,"",,
3934308,DUALSENSEEDGEWIRELESSCTRLWHITO,Sony,PS5 DUALSENSE EDGE WIRELESS CTRL WHITE,1000033305,711719559320,16571772,Unknown,OPEN BOX,"",,
3934309,JLABAUDIOEPICAIRSPORTINEARTWEARBCC,JLab Audio,JLab EBEAIRSPTNCRBLK82 Epic Air Sport In-Ear Noise Cancelling True Wireless Earbuds - Black,EBEAIRSPTNCRBLK82/CA,812887019316,16006936,Unknown,C Grade,"",,
3934374,XBOXELITESERIES2CORECTRLWHITO,MICROSOFT XBOX,Xbox 4IK-00001 Elite Series 2 Core Wireless Controller for Xbox Series X|S / Xbox One - White,4IK-00001/CA,889842717068,16433594,Unknown,OPEN BOX,"",,
3934402,XBOX149986UNKNPR,MICROSOFT STUDIOS,Xbox PC Controller with USB Cable,1V8-00001,889842657500,14998604,Unknown,PARTS & REPAIR,"",,
3934404,XBOXONEELITES23CUBLACCD,MICROSOFT XBOX,XBOX ONE WIRELESS CTRL ELITE S2,FST-00001,889842196344,13702316,Unknown,CD Grade,"",,
3935219,QUIETCOMFORT45OVEHEADPHONESBLACPR,BOSE,Bose 866724-0100 QuietComfort 45 Wireless Noise Cancelling Over-the-Ear Headphones - Triple Black,866724-0100/CA,017817835015,15690720,Unknown,PARTS & REPAIR,"",,
3935268,XBOXWIRELESSCTRLDVAPORCD3C9,MICROSOFT XBOX,Microsoft QAU-00125 Xbox Wireless Controller - Dream Vapor,QAU-00125/CA,196388141456,17661143,Unknown,CD Grade,"",,
3935280,BEATBYDR171608UNKNA,Beats by Dr. Dre,Beats By Dr. Dre MQTR3LL/A Studio Pro Over-Ear Noise Cancelling Bluetooth Headphones - Sandstone,MQTR3LL/A/CA,194253715276,17160837,Unknown,A Grade,"",,
3935300,PS4104879UNKNPR,Sony,PS4 DUALSHOCK 4 CTRL JET BLACK,3001539,711719504306,10487973,Unknown,PARTS & REPAIR,"",,
3935423,MACPRO2013A1481512ALUMBM,Apple,"Mac Pro (N/A, Late 2013)","A1481 (32GB RAM, 3GHz 8 Core Xeon E5-1680v2)",Wi-Fi,512GB,Aluminum,BM Grade,"",,
3935496,JBLTOURONEM2BTHEADPHONESBLACCD,JBL _,JBL JBLTOURONEM2BAM Tour One M2 Over-ear Noise Cancelling BT Headphones - Black,JBLTOURONEM2BAM/CA,050036394901,16924263,Unknown,CD Grade,"",,
3935532,HYDRASHOCKBTSPEAKERBLACBLUA,Altec Lansing,Altec Lansing IMW4005-RYB-FR-2 HydraShock Waterproof Bluetooth Wireless Speaker - Black/ Royal Blue,IMW4005-RYB-FR-2/CA,021331013927,14922860,Unknown,A Grade,"",,
3935756,PS5DUALSENSEWLCTRLRGPURPPR,Sony,PlayStation 5 DualSense Wireless Controller - Galactic Purple,1000039939/CA,711719574330,17977846,Unknown,PARTS & REPAIR,"",,
3935781,AIRPODSPRO(MLWK3AM/A)MAGSAFEWHITCD,Apple,AIRPODS PRO WITH MAGSAFE CASE,MLWK3AM/A,194252721247,15776779,Unknown,CD Grade,"",,
3935864,AIRPODS3RDGENMAGCASEWHITA,Apple,AIRPODS 3RD GENERATION W MAGSAFE CASE,MME73AM/A,194252818381,15776780,Unknown,A Grade,"",,
3935885,VIRTUOSORGBXTHEADSETBLACO,Corsair,CORSAIR VIRTUOSO RGB WL XT H-FD G HS BLK,CA-9011188-NA,840006605843,15660078,Unknown,OPEN BOX,"",,
3935899,MEGABOOM3BTWIRELESSSPEAKERBLACO,Ultimate Ears,Ultimate Ears 984-001390 MEGABOOM 3 Waterproof Bluetooth Wireless Speaker - Black,984-001390/CA,097855141088,12902850,Unknown,OPEN BOX,"",,
3936049,ANZUSMARTGLASSESROUNDBLACA,Razer,RAZER ANZU SMART GLASSES ROUND BUNDLE L,RZ82-03630400-R3U1,810056141905,6452525,Unknown,A Grade,"",,
3936057,SAMTABA95G64GBBLACA,Samsung,Galaxy Tab A9+ 5G,SM-X218U,Unlocked,64GB,Black,A Grade,"",,
3936059,GALAXYTABA9PLUS5G(SMX2218U)64BLACO,Samsung,Galaxy Tab A9+ 5G,SM-X218U,Unlocked,64GB,Black,OPEN BOX,"",,
3936063,IPH12PROMAX128GBGRAPBM,Apple,iPhone 12 Pro Max,A2411,Unlocked,128GB,Graphite,BM Grade,"",,
3936065,IPHONE12PMAXNBA2411128GRAPC,Apple,iPhone 12 Pro Max,A2411,Unlocked,128GB,Graphite,C Grade,Battery Replaced - 100% Health with Warning,,
3936069,IPHONEA1864256GOLDA,Apple,iPhone 8 Plus,A1864,Unlocked,256GB,Gold,A Grade,"",,
3936083,IPHONE8PLUSA186464GBGOLDA,Apple,iPhone 8 Plus,A1864,Unlocked,64GB,Gold,A Grade,"",,
3936098,MACBOOKAIR(1A2681(8GBRAM,Apple,"MacBook Air (13-inch, 2022)","A2681 (8GB RAM, M2 8 Core)",Wi-Fi,256GB,Midnight,A Grade,"",,
3936104,LATI74101416GBI7512GBBLACB,Dell,"Latitude 7410 (14-inch, 2020)","(16GB RAM, i7 10610U)",Wifi,512GB,Black,B Grade,"",,
3936109,TBSTEA700169238UNKNPR0005,TL,TB STEALTH 700 GEN2 MAX H BLK,TBS-3790-02,731855037919,16923815,Unknown,PARTS & REPAIR,"",,
3936113,T48014INCH16GBI5512GBBLACC,Lenovo,"T480 (14-inch, 2018)","(16GB RAM, i5 8250U)",Wi-Fi,512GB,Black,C Grade,"",,
3936114,T142021256BLACC,Lenovo,"T14 (14-inch, 2021)","(16GB RAM, i5 1145G7)",Wi-Fi,256GB,Black,C Grade,"",,
3936124,IPADAPPLEMAGBLACA,Apple,"Apple Magic Keyboard for iPad Pro 12.9"" (3rd/4th/5th/6th Gen/iPad Air 13 M2)",KEYBOARD CASE,N/A,N/A,Black,A Grade,"",,
3936125,APPLMAGIKEYBBLACA,Apple,Apple Magic Keyboard,Touch ID & Numeric Keypad,N/A,N/A,Black,A Grade,"",,
3936126,MAGICKEYBOARDTOUCHIDNUMERICKYBBLCA,Apple,Magic Keyboard,Touch ID & Numeric Keypad,N/A,N/A,Black,A Grade,"",,
3936161,PS5DUALSENSECTRLVOLREDCD3B4,HP,PS5 DUALSENSE CTRL VOLCANIC RED,1000039942,711719572695,17341066,Unknown,CD Grade,"",,
3936197,LATITUDE2020512BLACB,Dell,"Latitude 7410 (14-inch Touch, 2020)","(16GB RAM, i7 10610U)",Wifi,512GB,Black,B Grade,"",,
3936221,PS5DUALSENSEWIRELESSCTRLSTRBLUBM,Sony,PS5 DUALSENSE WIRELESS CTRL STARLIGHT BL,1000039940,711719574347,17732067,Unknown,BM Grade,"",,
3936228,BOSE700NCHEADPHONEBLACPR,BOSE,BOSE HEADPHONES 700 NC BT OE HP BLK,BOSE HEADPH 700 BLK,017817796163,13595376,Unknown,PARTS & REPAIR,"",,
3936231,HP15DY208GBI3256GBSILVBM,HP,"HP 15-DY2038CA (15.6-inch, 2021)","(8GB RAM, i3 1125G4)",Wi-Fi,256GB,Silver,BM Grade,Bad Battery,,
3936234,HP15DY208GBI3256GBSILVB,HP,"HP 15-DY2038CA (15.6-inch, 2021)","(8GB RAM, i3 1125G4)",Wi-Fi,256GB,Silver,B Grade,Bad Battery,,
3936236,15FD00158GBI51TBSSDSILVB,HP,"15-FD0003CA (15.6-inch Touch, 2023)","(8GB RAM, i5 1335u)",Wi-Fi,1TB SSD,Silver,B Grade,Bad Battery,,
3936237,HP15FD0003CA20231TBSILVB,HP,"15-FD0003CA (15.6-inch Touch, 2023)","(8GB RAM, i5 1335u)",Wi-Fi,1TB SSD,Silver,B Grade,"",,
3936243,ASPIASPI38GBRYZEN512GBBLUEBM,Acer,"Aspire Aspire 3 (15.6-inch, 2023)","A315-24PT-R0FS (8GB RAM, AMD RYZEN 5 7520U)",Wi-Fi,512GB,Blue,BM Grade,"",,
3936244,ASPIRELITE2021512GREYBM,Acer,"Aspire LITE (15.6-inch, 2021)","AL15-51 (8GB RAM, Intel i5 1155G7)",Wi-Fi,512GB,Grey,BM Grade,"",,
3936247,HYPERXCLOUDSTINGER2COREBLACB,TL,HYPERX CLOUD STINGER 2 CORE BLACK,683L9AA,196548418183,16474334,Unknown,B Grade,"",,
3936249,QUANTUM610GAMNGHEADSETBLACB,JBL,JBL QUANTUM 610 WL OVE GAMING HEADSET BK,JBLQUANTUM610BLKAM,050036388634,15956941,Unknown,B Grade,"",,
3936316,MBP13198GBI514256GBSILVA,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,256GB,Silver,A Grade,No Camera Detected,,
3936369,DUALSENSEWRCTRLRSTERSILVC,Sony PlayStation,Sony 1000039941 PlayStation 5 DualSense Wireless Controller - Sterling Silver,1000039941/CA,711719572701,17341067,Unknown,C Grade,"",,
3936370,MACBOOKPRONCD256SILVCD,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,256GB,Silver,CD Grade,No Camera Detected,,
3936391,PS5DUALSENSEWIRELESSCTRLBLACC,Sony,PS5 DUALSENSE WIRELESS CTRL BLACK REPLEN,1000039936,711719574309,17905836,Unknown,C Grade,"",,
3936422,SONYWH1000M5161621UNKNUK,Sony,Sony WH-1000XM5 Over-Ear Noise Cancelling Bluetooth Headphones with Case- Black,WH1000XM5/B/CA,027242923232,16162187,Unknown,Unknown,"",,
3936423,PS4DUALSHOCK4CTRLMAGMAREDA,Sony,PS4 DUALSHOCK 4 CTRL MAGMA RED,3001550,711719504412,10520812,Unknown,A Grade,"",,
3936425,VICTRIXPROBFGCTRLBLACA,PDP,PDP 052-002-BK Victrix Pro BFG Wireless Controller for PS5/ PS4/ PC - Black,052-002-BK/CA,708056069957,16612517,Unknown,A Grade,"",,
3936426,DUALSENSECTRLCOBALTBLUEA,Sony,PS5 DUALSENSE WIRELESS CTRL COBALT BLUE,1000039943,711719572688,17341065,Unknown,A Grade,"",,
3936427,LIFTVERTICALERGOMOUSEWHITA,TL,Logitech LiftVertical Ergo Mse OFF-WHT,6876221,97855170972,16007179,Unknown,A Grade,"",,
3936428,PIXELBUDSPRO(GA03204-US)CARBB,Google,Google GA03201-US Pixel Buds Pro In-Ear Noise Cancelling Truly Wireless Headphones - Carbon,GA03201-US/CA,193575032283,16298161,Unknown,B Grade,"",,
3936429,URBACOPETW164846UNKNCD,Urbanista,URBANISTA COPENHAGEN TW BLACK,1036602,810031140664,16484616,Unknown,CD Grade,"",,
3936430,PIXELWATCHGA0311940MMMATTBM,Google,Google GA03119-US Pixel Watch (GPS) 40mm Matte Black Stainless Steel Case,GA03119-US/ NO BAND/CA,840244600075,16538053,Unknown,BM Grade,"",,
3936431,AIRPODS3RDGENMAGCASEWHITC,Apple,AIRPODS 3RD GENERATION W MAGSAFE CASE,MME73AM/A,194252818381,15776780,Unknown,C Grade,"",,
3936432,LOCALEARBUDS,Google,Google GA04281-US Pixel Buds A-Series In-Ear Sound Isolating True Wireless Earbuds - Charcoal,GA04281-US/CA,193575034003,16499232,Unknown,PARTS & REPAIR,"",,
3936433,PIXELBUDSASERIES(GA04281-US)CHARCD,Google,Google GA04281-US Pixel Buds A-Series In-Ear Sound Isolating True Wireless Earbuds - Charcoal,GA04281-US/CA,193575034003,16499232,Unknown,CD Grade,"",,
3936434,CORSAIRCH9315411WIRELESSOPGAMINGAC,Corsair,Corsair CH-9315411-NA Dark Core RGB Pro 18000 dpi Wireless Optical Gaming Mouse - Black,CH-9315411-NA/CA,840006616023,14415754,Unknown,PARTS & REPAIR,"",,
3936435,JLABGOAIRTWHPBLACBM,JLAB,JLAB GO AIR POP TW IE HP BLACK,GO AIR POP,812887017183,15645661,Unknown,BM Grade,"",,
3936436,SHOKZOPENRUNPROLBDONEHEADPHONEBLCD,TL,SHOKZ OPENRUN PRO2BONE COND HP BLK,S820-ST-BK-CA-326,810160660873,18188846,Unknown,CD Grade,"",,
3936437,SOUNDCORESPORTX20TWANCBLACB,TL,SOUNDCORE SPORT X20 TW ANC BLK,A3968Z11-5,194644198268,17929524,Unknown,B Grade,"",,
3936438,SAMSUNGSMR93171667UNKNPR,Samsung Watch,Samsung SM-R930NZKAXAC Galaxy Watch6 (GPS) 40mm Smartwatch with Heart Rate Monitor - Graphite,SM-R930NZKAXAC/CA,887276772929,17166727,Unknown,PARTS & REPAIR,"",,
3936439,SHOKOPENAIR179427UNKNCD,TL,SHOKZ OPENFIT AIR OPENEAR TW EARBUDS BLK,T511-ST-BK-CA-326,810092678878,17942766,Unknown,CD Grade,"",,
3936440,XBOX176611UNKNB,MICROSOFT XBOX,Microsoft QAU-00125 Xbox Wireless Controller - Dream Vapor,QAU-00125/CA,196388141456,17661143,Unknown,B Grade,"",,
3938011,IPHONE16A3286128GBWHITN,Apple,iPhone 16,A3286,Unlocked,128GB,White,NEW,"",,
3938476,SPECTREX3602018ASISGSMINBSIVPR,HP,"Spectre x360 (15-inch, 2018)","(16GB RAM, i7 8565U)",Wi-Fi,512GB,Ash Silver,PARTS & REPAIR,"Untested - AS-IS - For Parts, Good Screen - Motherboard Issue, No Boot",,
3938757,SONYWHXBB157448UNKNPR,Sony,SONY WHXB910N/B OVE X-BASS NC HP BLACK,WHXB910N/B,027242922723,15744832,Unknown,PARTS & REPAIR,"",,
3938763,OWLETDREAMSOCKBABYMONITORGREEC,Owlet,Owlet BM06NMMCJ Dream Sock Wearable Baby Monitor - Mint Green,BM06NMMCJ/CA,850028962428,16241789,Unknown,C Grade,"",,
3938790,NVIDIASHIELDANDROIDTVPRO4K16BLACB,NVIDIA,Nvidia 945-12897-2500-101 Shield Android TV Pro 16GB 4K HDR Media Streamer - English,945-12897-2500-101/CA,812674023038,14276267,Unknown,B Grade,"",,
3939175,XBOX174009UNKNPR,POWERA,POWERA XBOX WIRED CTRL CTN RED,1519366-01,617885025426,17400971,Unknown,PARTS & REPAIR,"",,
3939177,LOGIDESKMK12102072UNKNPR,LOGITECH,LOGITECH DESKTOP MK120,920-002565,097855065476,10207205,Unknown,PARTS & REPAIR,"",,
3939178,LOGIDESKMK12102072UNKNCD,LOGITECH,LOGITECH DESKTOP MK120,920-002565,097855065476,10207205,Unknown,CD Grade,"",,
3939311,BUDSFE(SM-R400NZAAXAC)BLACPR,Samsung,SAMSUNG BUDS FE BLACK,SM-R400NZAAXAC,887276791913,17301940,Unknown,PARTS & REPAIR,"",,
3939312,BUDSFE(SM-R400NZAAXAC)BLACO,Samsung,SAMSUNG BUDS FE BLACK,SM-R400NZAAXAC,887276791913,17301940,Unknown,OPEN BOX,"",,
3939389,LOGI9100068166659UNKNA,LOGITECH,Logitech ( 910-006826) M325S Wireless Optical Mouse - Vivid Violet,910-006826/CA,097855183330,16665992,Unknown,A Grade,"",,
3939391,OPENSWIM PROBTMP3HEATSETGREYA,TL,SHOKZ OPENSWIM PROBC OPENEAR SWIM HP GRN,S710-ST-GY-CA-326,810092678908,17942769,Unknown,A Grade,"",,
3939392,GALAXYBUDSSPROOLIVO,Samsung -,Samsung Galaxy Buds2 In-Ear Noise Cancelling Truly Wireless Headphones - Olive Green,GALAXY BUDS2/GREEN/CA,887276573793,15615207,Unknown,B Grade,"",,
3939393,FITBITINSPIRE2BLACC,FITBIT,Fitbit Inspire 2 Fitness Tracker with 24/7 Heart Rate - Black,INSPIRE 2/BLK/CA,810038852805,14882488,Unknown,C Grade,"",,
3939394,QUIETCOMFORTULTRAEARBUDSBLACB,BOSE,Bose 882826-0010 QuietComfort Ultra In-Ear Noise Cancelling True Wireless Earbuds - Black,882826-0010/CA,017817847681,17212845,Unknown,B Grade,"",,
3939396,FITBITCHARGEGOLDC,FITBIT,FITBIT CHARGE 5 LUNAR WHT SFT GOLD FRCJK,FB421,810038855905,15666447,Unknown,C Grade,"",,
3939401,PIXELBUDSPRO(GA03204-US)LEMONB,Google,Google Pixel Buds Pro in-Ear Noise Cancelling True Wireless Earbuds - Lemongrass,GA03204-US/CA,Unknown,16298162,Unknown,B Grade,"",,
3939402,GALAXYBUDS2BLACBM,Samsung,SAMSUNG GALAXY BUDS2 BLACK,GALAXY BUDS2,887276573786,15615205,Unknown,BM Grade,"",,
3939403,GALAXYBUDS2EARBUDSBLACC,Samsung,SAMSUNG GALAXY BUDS2 BLACK,GALAXY BUDS2,887276573786,15615205,Unknown,C Grade,"",,
3939404,QUIETCOMFORTULTRAEARBUDSBLACBM,BOSE,Bose 882826-0010 QuietComfort Ultra In-Ear Noise Cancelling True Wireless Earbuds - Black,882826-0010/CA,017817847681,17212845,Unknown,BM Grade,"",,
3939405,BOSEQUIEEARB167047UNKNPR,TL,BOSE QUIETCOMFORT EARBUDS II LE ECLP GRY,870730-0040,17817847056,16704794,Unknown,PARTS & REPAIR,"",,
3939406,BEATSSTUDIOMJ4X3LLA)BLACBM,Beats by Dr. Dre,Beats By Dr. Dre MJ4X3LL/A Studio Buds In-Ear Noise Cancelling Truly Wireless Headphones - Black,MJ4X3LL/A/CA,194252388297,15543695,Unknown,BM Grade,"",,
3939407,SHOKZOPENRUNDONEHEADPHONEBLACA,Shokz,Shokz (S803-ST-BK-CA-153) OpenRun Bone Conduction Open-Ear Bluetooth Headphones - Black,S803-ST-BK-CA-153/CA,810092675938,15954867,Unknown,A Grade,"",,
3939408,JBLVIBEFLEXTRUEWIRELESSHPBEIGEC,TL,JBL VIBE FLEX TRUE WIRELESS HP BEIGE,JBLVFLEXBEGAM,50036391351,17919703,Unknown,C Grade,"",,
3939409,SONYWF-CF700NEARBUDS(C700NB)BLACC,Sony,Sony WF-C700N In-Ear Noise Cancelling True Wireless Earbuds - Black,WF-C700N/B/CA,Unknown,17042261,Unknown,C Grade,"",,
3939412,JBLT500BTBLACCD,JBL _,JBL JBLT500BTBLKAM Tune 500BT On-Ear Bluetooth Headphones - Black,JBLT500BTBLKAM/CA,050036355674,15458144,Unknown,CD Grade,"",,
3939413,JBLJBLTTUNE154581UNKNC,JBL _,JBL JBLT500BTBLKAM Tune 500BT On-Ear Bluetooth Headphones - Black,JBLT500BTBLKAM/CA,050036355674,15458144,Unknown,C Grade,"",,
3939414,GALAXYWATCH644MMGPSGRAPC,Samsung,Samsung Galaxy Watch6 (GPS) 44mm Smartwatch with Heart Rate Monitor - Graphite,SM-R940NZKAXAC/CA,887276773971,17166724,Unknown,C Grade,"",,
3939415,BEATSTUD3115345UNKNC,APPLE -,BEATS STUDIO 3 BT OVER-EAR HP BLACK,MX3X2LL/A,190199312722,11534527,Unknown,C Grade,"",,
3939416,BEATSSTUDIO3HEADPHONESBLACREDBM,Beats by Dr. Dre,Beats By Dr. Dre MX422LL/A Studio3 Over-Ear Noise Cancelling Bluetooth Headphones - Black/ Red,MX422LL/A/CA,190199312968,12560878,Unknown,BM Grade,"",,
3940059,IPHXS64GBSPACB,Apple,iPhone XS,A1920,Unlocked,64GB,Space Grey,B Grade,"",,
3940061,IPHXS64GBSPACC,Apple,iPhone XS,A1920,Unlocked,64GB,Space Grey,C Grade,"Service Battery Warning, Face ID Not working",,
3940096,IPHONEXSSBWFIDNWA192064SPACCD,Apple,iPhone XS,A1920,Unlocked,64GB,Space Grey,CD Grade,"Service Battery Warning, Face ID Not working",,
3940124,STEALTH700GEN2MAXBLUECD,TL,TB STEALTH 700 GEN 2 MAX COBALT BLUE,TBS-3794-02,731855037957,18393531,Unknown,CD Grade,"",,
3940158,RECONSPARKHEADSETWHITO,Turtle Beach,TURTLE BEACH RECON SPARK HS MULTPLAT WHT,TBS-6220-02,731855062201,14423058,Unknown,OPEN BOX,"",,
3940198,H100iELITECAPELLIXXTC,TL,Corsair H100i ELITE CAPELLIX XT Liq Cool,CW-9060068-WW,840006683476,16658116,Unknown,C Grade,"",,
3940202,SONYWH-1000XM5OVEREARHPHONESILVA,Sony _,Sony WH-1000XM5 Over-Ear Noise Cancelling Bluetooth Headphones - Silver,WH1000XM5/S/CA,027242923249,16162186,Unknown,A Grade,"",,
3940219,STEALTH600GEN2MAXBLACD-31A,TL,TB STEALTH 600X GEN 2 USB WL HS BLACK,7.31855E+11,731855023738,16206895,Unknown,CD Grade,"",,
3940232,JBLTUNE500OEHEADPHONESBLUECD,JBL _,JBL JBLT500BLUAM Tune 500 On-Ear Headphones - Blue,JBLT500BLUAM/CA,050036355902,16697686,Unknown,CD Grade,"",,
3940272,BARRACUDAXWIRELESSOVEHEADSETBLACCD,Razer,RAZER BARRACUDA X WIRELESS OVE GM HS BLK,RZ04-03800100-R3U1,810056141691,15609520,Unknown,CD Grade,"",,
3940334,BEATSSTUDIO3SKYLINEHEADSETBLACA,Apple,BEATS STUDIO 3 BT OVE SKYLINE COL MN BLK,MXJA2LL/A,190199462809,13188016,Unknown,A Grade,"",,
3940422,AIRPODSPRO2NDGENUSBCMAGWHITA,Apple,Apple AirPods Pro (2nd generation) Noise Cancelling True Wireless Earbuds with USB-C MagSafe Charging Case,MTJV3AM/A/CA,195949052484,Unknown,Unknown,A Grade,"",,
3940440,AIRPODSPRO2NDGENUSBCMAGWHITBM,Apple,Apple AirPods Pro (2nd generation) Noise Cancelling True Wireless Earbuds with USB-C MagSafe Charging Case,MTJV3AM/A/CA,195949052484,Unknown,Unknown,BM Grade,"",,
3940544,AIRPODSPRO2172786UNKNCD,Apple,AIRPODS PRO (2ND GEN) MAGSAFE (USB C),MTJV3AM/A,195949052484,17278649,Unknown,CD Grade,"",,
3940584,ARCTIS9XSERIESXBLACC,STEELSERIES,STEELSERIES ARCTIS 9X (SERIES X) HS BLK,61481,810052980010,13837396,Unknown,C Grade,"",,
3940610,BOSEQUITECOMFORTULTRAOVEHPWHITPR,BOSE,Bose QuietComfort Ultra Over-Ear Noise Cancelling Bluetooth Headphones - White Smoke,880066-0200/CA,Unknown,17212851,Unknown,PARTS & REPAIR,"",,
3940640,QUIETCOMFORT45NCOVEHEADPHONEMIDNEB,TL,BOSE QUIETCOMFORT 45 NC OVE HP MDNT BLUE,866724-0300,17817844420,16474097,Unknown,B Grade,"",,
3940673,SOUNDCORELIFETUNEPROANCOVEHPBLUECD,Soundcore,SOUNDCORE LIFE TUNE PRO ANC OVE HP BLUE,A3030Z31-5,194644074524,15557657,Unknown,CD Grade,"",,
